t,S,I,R
0,0.9950980392156863,0.004901960784313725,0.0
1,0.9950980392156863,0.004901960784313725,0.0
2,0.9950980392156863,0.004901960784313725,0.0
3,0.9950980392156863,0.004901960784313725,0.0
4,0.9950980392156863,0.004901960784313725,0.0
5,0.9901960784313726,0.004901960784313725,0.004901960784313725
6,0.9901960784313726,0.004901960784313725,0.004901960784313725
7,0.9901960784313726,0.004901960784313725,0.004901960784313725
8,0.9901960784313726,0.004901960784313725,0.004901960784313725
9,0.9901960784313726,0.004901960784313725,0.004901960784313725
10,0.9901960784313726,0.004901960784313725,0.004901960784313725
