t,S,I,R
50,0.9215686274509803,0.014705882352941176,0.06372549019607843
51,0.9215686274509803,0.014705882352941176,0.06372549019607843
52,0.9166666666666666,0.014705882352941176,0.06862745098039216
53,0.9117647058823529,0.0196078431372549,0.06862745098039216
54,0.9068627450980392,0.024509803921568627,0.06862745098039216
55,0.9068627450980392,0.024509803921568627,0.06862745098039216
56,0.8970588235294118,0.029411764705882353,0.07352941176470588
57,0.8970588235294118,0.029411764705882353,0.07352941176470588
58,0.8823529411764706,0.04411764705882353,0.07352941176470588
59,0.8774509803921569,0.049019607843137254,0.07352941176470588
60,0.8676470588235294,0.058823529411764705,0.07352941176470588
61,0.8578431372549019,0.06862745098039216,0.07352941176470588
62,0.8235294117647058,0.10294117647058823,0.07352941176470588
63,0.8088235294117647,0.11764705882352941,0.07352941176470588
64,0.803921568627451,0.12254901960784313,0.07352941176470588
65,0.7941176470588235,0.1323529411764706,0.07352941176470588
66,0.7745098039215687,0.14705882352941177,0.0784313725490196
67,0.7598039215686274,0.16176470588235295,0.0784313725490196
68,0.7450980392156863,0.17647058823529413,0.0784313725490196
69,0.7254901960784313,0.19607843137254902,0.0784313725490196
70,0.6911764705882353,0.23039215686274508,0.0784313725490196
71,0.6764705882352942,0.24509803921568626,0.0784313725490196
72,0.6666666666666666,0.2549019607843137,0.0784313725490196
73,0.6372549019607843,0.28431372549019607,0.0784313725490196
74,0.6029411764705882,0.31862745098039214,0.0784313725490196
75,0.5882352941176471,0.3284313725490196,0.08333333333333333
76,0.5441176470588235,0.37254901960784315,0.08333333333333333
77,0.5196078431372549,0.39705882352941174,0.08333333333333333
78,0.47549019607843135,0.4411764705882353,0.08333333333333333
79,0.45588235294117646,0.46078431372549017,0.08333333333333333
80,0.4411764705882353,0.47058823529411764,0.08823529411764706
81,0.4117647058823529,0.5,0.08823529411764706
82,0.39215686274509803,0.5196078431372549,0.08823529411764706
83,0.36764705882352944,0.5392156862745098,0.09313725490196079
84,0.3480392156862745,0.5588235294117647,0.09313725490196079
85,0.31862745098039214,0.5882352941176471,0.09313725490196079
86,0.3088235294117647,0.5980392156862745,0.09313725490196079
87,0.28431372549019607,0.6225490196078431,0.09313725490196079
88,0.2647058823529412,0.6421568627450981,0.09313725490196079
89,0.24019607843137256,0.6666666666666666,0.09313725490196079
90,0.23039215686274508,0.6764705882352942,0.09313725490196079
91,0.22058823529411764,0.6862745098039216,0.09313725490196079
92,0.20098039215686275,0.7009803921568627,0.09803921568627451
93,0.18137254901960784,0.7205882352941176,0.09803921568627451
94,0.16666666666666666,0.7352941176470589,0.09803921568627451
95,0.1568627450980392,0.7450980392156863,0.09803921568627451
96,0.14705882352941177,0.7549019607843137,0.09803921568627451
97,0.1323529411764706,0.7696078431372549,0.09803921568627451
98,0.12254901960784313,0.7794117647058824,0.09803921568627451
99,0.12254901960784313,0.7794117647058824,0.09803921568627451
100,0.11274509803921569,0.7892156862745098,0.09803921568627451
101,0.10294117647058823,0.7990196078431373,0.09803921568627451
102,0.09803921568627451,0.803921568627451,0.09803921568627451
103,0.09313725490196079,0.8088235294117647,0.09803921568627451
104,0.09313725490196079,0.8088235294117647,0.09803921568627451
105,0.09313725490196079,0.8088235294117647,0.09803921568627451
106,0.09313725490196079,0.8088235294117647,0.09803921568627451
107,0.09313725490196079,0.8088235294117647,0.09803921568627451
108,0.08333333333333333,0.8186274509803921,0.09803921568627451
109,0.08333333333333333,0.8186274509803921,0.09803921568627451
110,0.07352941176470588,0.8284313725490197,0.09803921568627451
111,0.07352941176470588,0.8284313725490197,0.09803921568627451
112,0.07352941176470588,0.8284313725490197,0.09803921568627451
113,0.06862745098039216,0.8333333333333334,0.09803921568627451
114,0.06372549019607843,0.8382352941176471,0.09803921568627451
115,0.058823529411764705,0.8431372549019608,0.09803921568627451
116,0.058823529411764705,0.8431372549019608,0.09803921568627451
117,0.058823529411764705,0.8431372549019608,0.09803921568627451
118,0.049019607843137254,0.8529411764705882,0.09803921568627451
119,0.04411764705882353,0.8578431372549019,0.09803921568627451
120,0.04411764705882353,0.8578431372549019,0.09803921568627451
121,0.04411764705882353,0.8578431372549019,0.09803921568627451
122,0.0392156862745098,0.8627450980392157,0.09803921568627451
123,0.0392156862745098,0.8627450980392157,0.09803921568627451
124,0.0392156862745098,0.8627450980392157,0.09803921568627451
125,0.0392156862745098,0.8627450980392157,0.09803921568627451
126,0.0392156862745098,0.8627450980392157,0.09803921568627451
127,0.0392156862745098,0.8627450980392157,0.09803921568627451
128,0.03431372549019608,0.8676470588235294,0.09803921568627451
129,0.03431372549019608,0.8676470588235294,0.09803921568627451
130,0.03431372549019608,0.8676470588235294,0.09803921568627451
131,0.03431372549019608,0.8676470588235294,0.09803921568627451
132,0.03431372549019608,0.8676470588235294,0.09803921568627451
133,0.03431372549019608,0.8676470588235294,0.09803921568627451
134,0.03431372549019608,0.8676470588235294,0.09803921568627451
135,0.03431372549019608,0.8676470588235294,0.09803921568627451
136,0.03431372549019608,0.8676470588235294,0.09803921568627451
137,0.03431372549019608,0.8676470588235294,0.09803921568627451
138,0.03431372549019608,0.8676470588235294,0.09803921568627451
139,0.03431372549019608,0.8676470588235294,0.09803921568627451
