t,S,I,R
0,0.9950980392156863,0.004901960784313725,0.0
1,0.9950980392156863,0.004901960784313725,0.0
2,0.9950980392156863,0.004901960784313725,0.0
3,0.9950980392156863,0.004901960784313725,0.0
4,0.9950980392156863,0.004901960784313725,0.0
5,0.9950980392156863,0.004901960784313725,0.0
6,0.9950980392156863,0.004901960784313725,0.0
7,0.9950980392156863,0.004901960784313725,0.0
8,0.9950980392156863,0.004901960784313725,0.0
9,0.9950980392156863,0.004901960784313725,0.0
10,0.9950980392156863,0.004901960784313725,0.0
11,0.9950980392156863,0.004901960784313725,0.0
12,0.9950980392156863,0.004901960784313725,0.0
13,0.9901960784313726,0.004901960784313725,0.004901960784313725
14,0.9901960784313726,0.004901960784313725,0.004901960784313725
15,0.9901960784313726,0.004901960784313725,0.004901960784313725
16,0.9901960784313726,0.004901960784313725,0.004901960784313725
17,0.9901960784313726,0.004901960784313725,0.004901960784313725
18,0.9901960784313726,0.004901960784313725,0.004901960784313725
19,0.9901960784313726,0.004901960784313725,0.004901960784313725
20,0.9901960784313726,0.004901960784313725,0.004901960784313725
21,0.9901960784313726,0.004901960784313725,0.004901960784313725
22,0.9901960784313726,0.004901960784313725,0.004901960784313725
23,0.9803921568627451,0.004901960784313725,0.014705882352941176
24,0.9803921568627451,0.004901960784313725,0.014705882352941176
25,0.9803921568627451,0.004901960784313725,0.014705882352941176
26,0.9705882352941176,0.004901960784313725,0.024509803921568627
27,0.9705882352941176,0.004901960784313725,0.024509803921568627
28,0.9705882352941176,0.004901960784313725,0.024509803921568627
29,0.9656862745098039,0.00980392156862745,0.024509803921568627
30,0.9656862745098039,0.00980392156862745,0.024509803921568627
31,0.9607843137254902,0.014705882352941176,0.024509803921568627
32,0.9607843137254902,0.014705882352941176,0.024509803921568627
33,0.9558823529411765,0.0196078431372549,0.024509803921568627
34,0.9558823529411765,0.0196078431372549,0.024509803921568627
35,0.9509803921568627,0.024509803921568627,0.024509803921568627
36,0.9264705882352942,0.049019607843137254,0.024509803921568627
37,0.8823529411764706,0.09313725490196079,0.024509803921568627
