,t: 0,t: 1,t: 2,t: 3,t: 4,t: 5,t: 6,t: 7,t: 8,t: 9,t: 10,t: 11,t: 12,t: 13,t: 14,t: 15,t: 16,t: 17,t: 18,t: 19,t: 20,t: 21,t: 22,t: 23,t: 24,t: 25,t: 26,t: 27,t: 28,t: 29,t: 30,t: 31,t: 32,t: 33,t: 34,t: 35,t: 36,t: 37,t: 38,t: 39,t: 40,t: 41,t: 42,t: 43,t: 44,t: 45,t: 46,t: 47,t: 48,t: 49,t: 50,t: 51,t: 52,t: 53,t: 54,t: 55,t: 56,t: 57,t: 58,t: 59,t: 60,t: 61,t: 62,t: 63,t: 64,t: 65,t: 66,t: 67,t: 68,t: 69,t: 70,t: 71,t: 72,t: 73,t: 74,t: 75,t: 76,t: 77,t: 78,t: 79,t: 80,t: 81,t: 82,t: 83,t: 84,t: 85,t: 86,t: 87,t: 88,t: 89,t: 90,t: 91,t: 92,t: 93,t: 94,t: 95,t: 96,t: 97,t: 98,t: 99,t: 100
obs_MPI1,-0.019061029336414778,0.08962017422551397,-0.11374676742001709,-0.11204911745129903,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.07720755247742822,-0.06690121935475667,-0.07720755247742822,-0.07720755247742822,-0.050081285354614716,-0.052631296105673804,-0.052631296105673804,-0.052631296105673804,-0.052631296105673804,-0.052631296105673804,-0.06737308294654423,-0.04421501009252101,-0.018216269707753863,-0.011143693658892256,-0.016648979152790906,-0.00894922409200636,-0.07982323354344625,0.00360378169923483,-0.005565411930977704,0.0019779598002166512,0.00020288175370794526,0.00020288175370794526,0.00020288175370794526,0.013752328332232763,-0.004395249470915456,0.00020288175370794526,0.0055477821634710295,0.008646702469734646,-0.03624218782119289,-0.03624218782119289,-0.03880890241048239,-0.03432213658373119,-0.03234890092301426,-0.030812959569481338,-0.013698080035437953,-0.027528325614329996,-0.03234890092301426,-0.03034678492655553,-0.06492502181977389,-0.0625018092614807,-0.06564203450606954,-0.0625018092614807,-0.06261354493631106,-0.05884816590623998,-0.05721490611695515,-0.058754159914638636,-0.1081859206546961,-0.09814825878985767,-0.09347600266262834,-0.10808452154287856,-0.1002301073340037,-0.103062969416069,-0.09863853854766513,-0.09040847716265228,-0.10205417684607926,-0.098300698126671,-0.098300698126671,-0.098300698126671,-0.07968464165002737,-0.07992136012813549,-0.08322333671721002,-0.08322333671721002,-0.08325783360372796,-0.08159743461901534,-0.08322333671721002,-0.07929961901879293,-0.08322333671721002,-0.06747931789994789,-0.06612519086158287,-0.06990916547495162,-0.058274121121028415,-0.06990916547495162,-0.06990916547495162,-0.06990916547495162,-0.05808074678139532,-0.049619354864665094,-0.05010078625263844,-0.04497703214843936,-0.05010078625263844,-0.04322667996246105,-0.04540873507262913,-0.05010078625263844,-0.05010078625263844,-0.03505573264033998,-0.044348166044314664,-0.05144601502367995,-0.05031929508166341,-0.05010078625263844,-0.04714946324734404
obs_MPI3,-0.019265922264836133,0.028302332923379962,-0.09607196628182779,-0.09824826142512387,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.052780132378043465,-0.04095357065281527,-0.052780132378043465,-0.052780132378043465,-0.029049501299496575,-0.028415988036710457,-0.028415988036710457,-0.028415988036710457,-0.028415988036710457,-0.028415988036710457,-0.044637415976461085,-0.024384051009704852,-0.011776091582154258,-0.0035842780274687146,0.0030815429487227666,0.0032081530394202015,-0.06553153077083582,0.06286825048265646,0.04465882488851402,0.04720213517074133,0.04782812415978162,0.04782812415978162,0.04782812415978162,0.06598725193469199,-0.05644746601773784,0.04782812415978162,0.05551304484861745,0.05311552313479377,0.0512107759183035,0.0512107759183035,-0.048577428062332687,-0.03537199299008831,-0.030303337342547088,-0.03028803548495071,0.006207019405868736,-0.02307861982297011,-0.030303337342547088,-0.028105984919125096,-0.04493961845722658,-0.04133326850199629,-0.04802918396216171,-0.04133326850199629,-0.03681869419804587,-0.0442481101464545,-0.04534392966417751,-0.036782873207729876,-0.05381980705501693,-0.040748595519426126,-0.030361482999998225,-0.04650840061474047,-0.04463489889215766,-0.055016492413002396,-0.0338841210718207,-0.021155123587811027,-0.03954518290787565,-0.03390151636445456,-0.03390151636445456,-0.03390151636445456,-0.01403252126698007,-0.009554497709946486,-0.01386406801488118,-0.01386406801488118,-0.018700223118059398,-0.034402994116170385,-0.01386406801488118,-0.00795303137317295,-0.01386406801488118,0.012532699012725856,0.009953957389472454,0.008914189545391145,0.02527942419246114,0.008914189545391145,0.008914189545391145,0.008914189545391145,0.016541041771907385,0.018413462859671673,0.026378372360872378,0.03212641869332504,0.026378372360872378,0.034329089927055766,0.03300567122555201,0.026378372360872378,0.026378372360872378,0.04300353659137576,0.01632717139826293,0.021978018922053866,0.03023928115277151,0.026378372360872378,0.030235884889330517
obs_MPI6,0.07202590778402529,0.01911680049655496,-0.257890988689977,-0.24861657861717187,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.17486407027503925,-0.15828947263074394,-0.17486407027503925,-0.17486407027503925,-0.12593634181159774,-0.13284376894553057,-0.13284376894553057,-0.13284376894553057,-0.13284376894553057,-0.13284376894553057,-0.10666907809923004,-0.1226855894629466,-0.08998158046582039,-0.07806793608957854,-0.07246972733126852,-0.06451335228753927,-0.13105529414875727,-0.011666950934239136,-0.03389824762488722,-0.03490876373732847,-0.022551346295247736,-0.022551346295247736,-0.022551346295247736,-0.0034189056319831237,-0.20310054958445384,-0.022551346295247736,-0.013601458932710725,-0.008802888316006757,-0.01951947825622872,-0.01951947825622872,-0.03456112394502864,-0.0245971834245197,-0.024372679021413428,-0.025236861018286788,0.00767259878394929,-0.016965015488254288,-0.024372679021413428,-0.023891429299286275,-0.02822860767914381,-0.02428277611526063,-0.03192033519194959,-0.02428277611526063,-0.013054711393491585,-0.03278749563231241,-0.0488953081545687,-0.020988407832935353,-0.048447369226367026,-0.034827150813204394,-0.04926820914136797,-0.036898323883283145,-0.036550183594878737,-0.04414832576102705,-0.023200263566047596,-0.010504670623124296,-0.03529988484663264,-0.023257511295404223,-0.023257511295404223,-0.023257511295404223,-0.008130260518168324,0.0025572686704504154,-0.004281946343478331,-0.004281946343478331,-0.011689328656624776,-0.01812109565289359,-0.004281946343478331,0.0020084431011676805,-0.004281946343478331,0.01896359416042285,0.014301956018601332,0.015582388446192467,0.02999044174451103,0.015582388446192467,0.015582388446192467,0.015582388446192467,0.0269698960385574,0.011940740583122233,0.03834332331033012,0.04745301886799783,0.03834332331033012,0.042891198590353695,0.04520378498613617,0.03834332331033012,0.03834332331033012,0.05040265245503654,0.03208035833487535,0.02702590004350812,0.04377873053694896,0.03834332331033012,0.04233662224116331
