,t: 0,t: 1,t: 2,t: 3,t: 4,t: 5,t: 6,t: 7,t: 8,t: 9,t: 10,t: 11,t: 12,t: 13,t: 14,t: 15,t: 16,t: 17,t: 18,t: 19,t: 20,t: 21,t: 22,t: 23,t: 24,t: 25,t: 26,t: 27,t: 28,t: 29,t: 30,t: 31,t: 32,t: 33,t: 34,t: 35,t: 36,t: 37,t: 38,t: 39,t: 40,t: 41,t: 42,t: 43,t: 44,t: 45,t: 46,t: 47,t: 48,t: 49,t: 50,t: 51,t: 52,t: 53,t: 54,t: 55,t: 56,t: 57,t: 58,t: 59,t: 60,t: 61,t: 62,t: 63,t: 64,t: 65,t: 66,t: 67,t: 68,t: 69,t: 70,t: 71,t: 72,t: 73,t: 74,t: 75,t: 76,t: 77,t: 78,t: 79,t: 80,t: 81,t: 82,t: 83,t: 84,t: 85,t: 86,t: 87,t: 88,t: 89,t: 90,t: 91,t: 92,t: 93,t: 94,t: 95,t: 96,t: 97,t: 98,t: 99,t: 100
obs_MPI1,-0.019061029336414778,-0.019061029336414778,0.01054214553973359,-0.05378037820425459,-0.1558811793694305,-0.010093013396115572,-0.10400092997970126,0.015718898849059824,0.0032494021435694395,0.03431686376748605,0.02161095468270636,0.03981334630918078,0.036767710750892024,-0.02245734941079448,-0.016024724090104414,-0.006536570335719777,0.005773376137415659,-0.0018616196559555417,-0.003659803178450001,-0.07859249825607709,-0.005393268993911883,0.00297723722100747,0.014200616236826391,0.024320210978223525,0.014200616236826391,-0.05079614037199955,0.01419990471820231,0.024028808923058052,0.028083890474213245,0.03342785242670087,0.02907403790144436,0.0005995361275190451,0.0019997199328985436,-0.001501828961797104,-0.048089442278812476,-0.04818647386762355,-0.048089442278812476,0.005177102309628645,0.005177102309628645,-0.16522322423332558,-0.16522322423332558,-0.16311561475598027,-0.15103246240605628,-0.14788155825174693,-0.15106644054565876,-0.1408381883902794,-0.12681626852032502,-0.13296458141045267,-0.1311672355236561,-0.1215876910550891,-0.10731678321083815,-0.11455310796029597,-0.10734742918102858,-0.111586708051608,-0.111586708051608,-0.14528642169406308,-0.10528840013182172,-0.11013741108307251,-0.10839144232253453,-0.10969614729898326,-0.10839144232253453,-0.10839144232253453,-0.11439915627703187,-0.10519009715073716,-0.10519009715073716,-0.10299231393844308,-0.10519009715073716,-0.10290443665446934,-0.10290443665446934,-0.10308294109784663,-0.09659044665207567,-0.09880367850541516,-0.08661862556171081,-0.0980713992367693,-0.0980713992367693,-0.1001521261981529,-0.0980713992367693,-0.0980713992367693,-0.0980713992367693,-0.0980713992367693,-0.0980713992367693,-0.0980713992367693,-0.0980713992367693,-0.07865144151923227,-0.08141308047418547,-0.07341562353196682,-0.06634021097558693,-0.06634021097558693,-0.06634021097558693,-0.06634021097558693,-0.0642660772264726,-0.0642660772264726,-0.059250655423443745,-0.061303336165374235,-0.053875541536951434,-0.053875541536951434,-0.09815997817495918,-0.09815997817495918,-0.0935099673119699,-0.0908009335383095,-0.0908009335383095
obs_MPI3,-0.019265922264836133,-0.019265922264836133,0.31455146552386853,0.0686859403303505,0.0029126171152988045,-0.057413832643488066,-0.111762614220053,-0.028470646309108838,-0.05703016901654216,0.0035210078103113662,-0.02917715033365081,0.015961237326680595,0.026983402178372043,-0.18968677804271233,-0.1709184743832262,-0.25214391261341174,-0.22327500197721886,-0.23395914971882187,-0.23097841971923933,-0.28437567825147164,-0.22326007294527006,-0.22275722856687957,-0.19370262100529106,-0.16827992009352238,-0.19370262100529106,-0.2528577015401001,-0.19335270722483677,-0.17422893886971086,-0.16967511247174694,-0.15328353563686392,-0.16456022458005853,-0.16192786013630653,-0.15624307859956754,-0.16455176471148672,-0.19272221671877637,-0.18820693655631696,-0.19272221671877637,-0.14425918465596435,-0.14425918465596435,-0.11075292728342723,-0.11075292728342723,-0.11048479818743849,-0.09362011577380978,-0.09130777972232708,-0.09409445168334704,-0.08134239494245776,-0.06547552129429901,-0.07276886080749613,-0.07038754693466615,-0.05910553784414008,-0.040220144087607684,-0.04410537836617112,-0.03998537903980929,-0.04258116750512274,-0.04258116750512274,-0.040898782371546594,-0.04096729176883561,-0.04916501693525348,-0.040291541035199,-0.036049504813915875,-0.040291541035199,-0.040291541035199,-0.04624291329545006,-0.03542331329019005,-0.03542331329019005,-0.03357058787454592,-0.03542331329019005,-0.033189220468532774,-0.033189220468532774,-0.03723747036818907,-0.03784889485924295,-0.04137955424518391,-0.036148866164150056,-0.03247024285898711,-0.03247024285898711,-0.036163896382078745,-0.03247024285898711,-0.03247024285898711,-0.03247024285898711,-0.03247024285898711,-0.03247024285898711,-0.03247024285898711,-0.03247024285898711,-0.011335481171832335,-0.01009040310816188,-0.007722084330312663,0.002441440393907146,0.002441440393907146,0.002441440393907146,0.002441440393907146,0.0058006711212463535,0.0058006711212463535,0.010525552872169726,0.0071938368364233285,0.017509164113989457,0.017509164113989457,0.003056931565321344,0.003056931565321344,0.017246368500591268,0.012509002791019228,0.012509002791019228
obs_MPI6,0.07202590778402529,0.07202590778402529,0.5791136867377258,0.1678874927532763,-0.06203126985471645,-0.07091240165554993,-0.12638870958661907,-0.051378307837618695,-0.10411144088550635,-0.02319806137924288,-0.061754450327621585,-0.0017151277962218596,0.009020793651905695,-0.06573402387331123,-0.043179665273165496,-0.23918991216262006,-0.20567519069911197,-0.23400656183450003,-0.22591591476820214,-0.2693661782373142,-0.21587868555725642,-0.20806242619545362,-0.17883344366599102,-0.15349038585432537,-0.17883344366599102,-0.2387595616312645,-0.175693960479045,-0.16252823760688087,-0.1606051464041936,-0.13956640168209833,-0.15241289369813144,-0.15798750291437888,-0.1501010638795071,-0.15877361287537503,-0.19607996491447985,-0.1922826852192256,-0.19607996491447985,-0.13809703113142283,-0.13809703113142283,-0.09075504475782654,-0.09075504475782654,-0.10066316850443886,-0.08082833207753493,-0.07991852813944153,-0.07937851810369878,-0.06957004481417214,-0.049304537264428475,-0.05040490082931612,-0.04928244474957368,-0.04475161041808297,-0.026530376008007103,-0.032207818494693854,-0.025080246465959702,-0.02864014515765685,-0.02864014515765685,-0.039088686222513463,-0.02934999678432379,-0.03318763682283275,-0.02886672217757505,-0.02841715768911568,-0.02886672217757505,-0.02886672217757505,-0.03871681528739855,-0.02632920589920633,-0.02632920589920633,-0.026949036504034296,-0.02632920589920633,-0.0345108994137762,-0.0345108994137762,-0.040883794814439434,-0.03835826277241765,-0.04134843944716414,-0.036202742206758384,-0.025925895449433786,-0.025925895449433786,-0.026971517833069926,-0.025925895449433786,-0.025925895449433786,-0.025925895449433786,-0.025925895449433786,-0.025925895449433786,-0.025925895449433786,-0.025925895449433786,-0.009158083554983841,-0.00880333632720208,0.002611951926371689,0.013754931857782662,0.013754931857782662,0.013754931857782662,0.013754931857782662,0.01662181355103949,0.01662181355103949,0.01744976761226212,0.014609859694688698,0.025555193532061746,0.025555193532061746,0.007334817537532418,0.007334817537532418,0.010252981886870821,0.014691050402876021,0.014691050402876021
