,t: 0,t: 1,t: 2,t: 3,t: 4,t: 5,t: 6,t: 7,t: 8,t: 9,t: 10,t: 11,t: 12,t: 13,t: 14,t: 15,t: 16,t: 17,t: 18,t: 19,t: 20,t: 21,t: 22,t: 23,t: 24,t: 25,t: 26,t: 27,t: 28,t: 29,t: 30,t: 31,t: 32,t: 33,t: 34,t: 35,t: 36,t: 37,t: 38,t: 39,t: 40,t: 41,t: 42,t: 43,t: 44,t: 45,t: 46,t: 47,t: 48,t: 49,t: 50,t: 51,t: 52,t: 53,t: 54,t: 55,t: 56,t: 57,t: 58,t: 59,t: 60,t: 61,t: 62,t: 63,t: 64,t: 65,t: 66,t: 67,t: 68,t: 69,t: 70,t: 71,t: 72,t: 73,t: 74,t: 75,t: 76,t: 77,t: 78,t: 79,t: 80,t: 81,t: 82,t: 83,t: 84,t: 85,t: 86,t: 87,t: 88,t: 89,t: 90,t: 91,t: 92,t: 93,t: 94,t: 95,t: 96,t: 97,t: 98,t: 99,t: 100
obs_MPI1,-0.019061029336414778,-0.002473231702577164,,,0.0321369019471969,0.03297438887627274,0.03297438887627274,0.03297438887627274,0.03297438887627274,0.03886590581645314,0.04627434828472021,0.046836911332915426,0.046836911332915426,0.046836911332915426,0.05538709506177639,0.051585885658183846,0.055369680908609345,-0.07439831077026902,-0.15481169818815538,-0.16735468303021617,-0.16735468303021617,-0.16735468303021617,-0.16735468303021617,-0.16735468303021617,-0.16735468303021617,-0.14269346822673182,-0.14999815839892008,-0.1326186435436121,-0.14269346822673182,-0.40057992552873556,-0.4213052282088792,-0.34495381601058644,-0.4213052282088792,-0.3442847627997889,-0.3027136471174467,-0.3044093657190743,-0.2881873837053526,-0.2881873837053526,-0.28347879913877533,-0.28347879913877533,-0.28347879913877533,-0.24427960116863146,-0.26367071542341103,-0.2670495509045185,-0.2618862288817681,-0.2468875325088145,-0.32336702164269243,-0.24748701647813018,-0.22491856488575646,-0.20185153928396304,-0.1945816341508886,-0.2036513834110532,-0.18764887690151316,-0.19621143240555222,-0.18366748505879393,-0.17354518600410032,-0.18497229880772154,-0.1736692784445045,-0.15264425030266646,-0.16286057705848617,-0.152674637671742,-0.152674637671742,-0.15460998623250452,-0.14602550536573425,-0.1464611042778803,-0.14155689102410715,-0.14680880613697034,-0.15796898524081385,-0.14002359539716724,-0.14087656558876568,-0.117742557525428,-0.11797129653333151,-0.1262675749659018,-0.12269155392015652,-0.1262675749659018,-0.11491638922644089,-0.1217212577754545,-0.12018934950969731,-0.12018934950969731,-0.12018934950969731,-0.12412036370055717,-0.12386792648056266,-0.11641982919574496,-0.09983020061311004,-0.10079337016045273,-0.102322208745981,-0.08457353584182914,-0.08792224321918335,-0.09482925090612909,-0.08757830983905612,-0.1445323165816414,-0.07114851679673391,-0.07428496600162211,-0.07428496600162211,-0.07428496600162211,-0.07125165934875115,-0.07422472370852261,-0.07428496600162211,-0.07016024078659125,-0.06331856346888412,-0.06331856346888412
obs_MPI3,-0.019265922264836133,-0.054866137265596436,,,0.05750282663617222,0.04992646829488012,0.04992646829488012,0.04992646829488012,0.04992646829488012,0.058829589288532234,0.05816329283271882,0.07112107658491217,0.07112107658491217,0.07112107658491217,0.08307058214375938,0.041104395146607436,0.08367852726266162,-0.016322621047993514,-0.02535197015327676,-0.0355411554327211,-0.0355411554327211,-0.0355411554327211,-0.0355411554327211,-0.0355411554327211,-0.0355411554327211,-0.017664178879081734,-0.028874265395978857,-0.0067581056709181825,-0.017664178879081734,-0.032699531413906274,-0.02377153539168347,-0.12319037615214933,-0.02377153539168347,0.010800469434638145,-0.07439587003511414,-0.07740672410389107,-0.07455805439438745,-0.07455805439438745,-0.07273831208480562,-0.07273831208480562,-0.07273831208480562,-0.030749619691626442,-0.051155129767988534,-0.05562049578392657,-0.04593582806076078,-0.03219156005446234,-0.10352918611921884,-0.027167827172007743,-0.01322484948595436,0.006129679854363898,0.012201718213987859,0.004184517662648719,0.01463232534960276,0.012098603943297759,0.015140713983120497,0.0306250504086104,0.02366686815981123,0.033834110677521075,0.05450339003284828,0.044599636009649085,0.05514415567554027,0.05514415567554027,0.047416537997909985,0.027884933943528444,0.03467741139109714,0.04220652153087753,0.03459230747004377,0.02209591472721322,0.03904425968525824,0.0415913699508019,0.03997525999179429,0.041492468841036786,0.03153288112942276,0.03693304426644608,0.03153288112942276,0.0471043256978034,0.03702201097483027,0.039358972771269256,0.039358972771269256,0.039358972771269256,0.05343751628229663,0.04970697447924508,0.05826812105884302,0.07558147175299323,0.0767596616460264,0.08017832336602157,0.0930880500499768,0.09658687590452858,0.08735688695523271,0.09657235101382358,0.04760026666833993,0.11721555918977763,0.11452754175490129,0.11452754175490129,0.11452754175490129,0.11937131833961481,0.1207085879723783,0.11452754175490129,0.11234838093725785,0.11766319553814933,0.11766319553814933
obs_MPI6,0.07202590778402529,-0.08866894513276981,,,0.03537942133566692,0.03604848761532306,0.03604848761532306,0.03604848761532306,0.03604848761532306,0.045488345582804256,0.043487390317636,0.0635519744464663,0.0635519744464663,0.0635519744464663,0.07577062300427467,0.03703462896966992,0.07776794070867081,-0.14567881667495042,-0.15293132903863166,-0.15991534538702773,-0.15991534538702773,-0.15991534538702773,-0.15991534538702773,-0.15991534538702773,-0.15991534538702773,-0.13289124152930878,-0.13982498510509497,-0.1249793372734399,-0.13289124152930878,-0.11461081429280819,-0.11045539601937641,-0.09562571332888735,-0.11045539601937641,-0.05817786707383912,-0.040961470659180974,-0.042945148587073226,-0.06540668899545223,-0.06540668899545223,-0.05383392141407219,-0.05383392141407219,-0.05383392141407219,-0.014342010804185026,-0.031930846985405166,-0.03678598797103341,-0.043148472143074074,-0.029542809354224424,-0.10175134721207114,-0.02893574776747341,-0.023431793972016696,-0.00727787898145868,-0.010058247400557531,-0.007686022801238888,0.008577201344292233,0.0014140355801818133,-0.003968048447251404,0.012502726579138673,0.002510779382317266,0.014853790627842284,0.035690540692390985,0.026312228059428344,0.03526510813125254,0.03526510813125254,0.03397151137156905,0.017807406894551916,0.025399388688257966,0.030890578322288254,0.018617689714080662,0.025424147689585903,0.019876416672489718,0.031133051628461184,0.03315313818147163,0.03321817429015206,0.022124288120671534,0.027822850765005826,0.022124288120671534,0.03283802932586735,0.03238859973453716,0.03302799196128557,0.03302799196128557,0.03302799196128557,0.04724583670873679,0.043250415820626,0.05400163172314467,0.07155627410193054,0.0721349195943702,0.07029908963403149,0.08862458740463848,0.0898258457121752,0.07992315380101803,0.08416807083408132,0.03332279808893335,0.10413307992382968,0.09880114712451721,0.09880114712451721,0.09880114712451721,0.10123786423002726,0.10791036535211018,0.09880114712451721,0.10218786308183572,0.10969709335758429,0.10969709335758429
