,t: 0,t: 1,t: 2,t: 3,t: 4,t: 5,t: 6,t: 7,t: 8,t: 9,t: 10,t: 11,t: 12,t: 13,t: 14,t: 15,t: 16,t: 17,t: 18,t: 19,t: 20,t: 21,t: 22,t: 23,t: 24,t: 25,t: 26,t: 27,t: 28,t: 29,t: 30,t: 31,t: 32,t: 33,t: 34,t: 35,t: 36,t: 37,t: 38,t: 39,t: 40,t: 41,t: 42,t: 43,t: 44,t: 45,t: 46,t: 47,t: 48,t: 49,t: 50,t: 51,t: 52,t: 53,t: 54,t: 55,t: 56,t: 57,t: 58,t: 59,t: 60,t: 61,t: 62,t: 63,t: 64,t: 65,t: 66,t: 67,t: 68,t: 69,t: 70,t: 71,t: 72,t: 73,t: 74,t: 75,t: 76,t: 77,t: 78,t: 79,t: 80,t: 81,t: 82,t: 83,t: 84,t: 85,t: 86,t: 87,t: 88,t: 89,t: 90,t: 91,t: 92,t: 93,t: 94,t: 95,t: 96,t: 97,t: 98,t: 99,t: 100
obs_MPI1,-0.019061029336414778,0.06552259251942619,-0.1864977045535493,-0.1631501401100191,-0.28142688854960907,-0.19368498115335764,-0.1903468977396421,-0.19368498115335764,-0.11413688042841126,-0.11413688042841126,-0.11413688042841126,-0.07565969652448684,-0.07565969652448684,-0.06368258194915677,-0.07565969652448684,-0.04910853765618303,-0.04610379014313359,-0.04910853765618303,-0.05143659814704532,-0.02941607896549512,-0.02941607896549512,-0.20949827921944714,-0.017376349765579155,-0.006337021088780589,0.00040627685058701457,-0.013327456706292613,-0.015617556073102543,-0.01804212377579771,-0.01804212377579771,0.0031496497704937704,0.008582186812591444,-0.22618811140365927,-0.22206246181173606,-0.2036913347349646,-0.1973409053012955,-0.18712164799530806,-0.1766562872640342,-0.1699704632644311,-0.17038142116996643,-0.17398425285974345,-0.17398425285974345,-0.15937281596329905,-0.1673907288182518,-0.16495692663582776,-0.1667100425495836,-0.1667100425495836,-0.1667100425495836,-0.1667100425495836,-0.15075341689015734,-0.15639709043790367,-0.1458848023124243,-0.1447409600349258,-0.14630645819673838,-0.14536540651882635,-0.14474380526683156,-0.1343902435780135,-0.1343902435780135,-0.1343902435780135,-0.14831969003992856,-0.15355500811360806,-0.15765084265684173,-0.15369964605472403,-0.16523857527810837,-0.20848394022510347,-0.14589033969926138,-0.14589033969926138,-0.14443329367758143,-0.14589033969926138,-0.12902399548324517,-0.14589033969926138,-0.13747177372954816,-0.11674437870541632,-0.1288693817670864,-0.12173617197915296,-0.1288693817670864,-0.12061006415126607,-0.12391524737366333,-0.11846473501425424,-0.1132206890748487,-0.11359860024038539,-0.11090821694662417,-0.10604153162588016,-0.11365952422634606,-0.11412756712138247,-0.1046102183842346,-0.10673598034104667,-0.10697048785197447,-0.1283641793648491,-0.12177204628940402,-0.12177204628940402,-0.12177204628940402,-0.11416135348834125,-0.11954732894653203,-0.12177204628940402,-0.1263500493291733,-0.12177204628940402,-0.100413869053598,-0.10741962630755039,-0.10741962630755039,-0.10741962630755039,-0.10741962630755039
obs_MPI3,-0.019265922264836133,0.08715681785105513,-0.12210390770460963,-0.1290591378781491,-0.12094100807563499,-0.1281668208306849,-0.13253420665274224,-0.1281668208306849,-0.060278416287242086,-0.060278416287242086,-0.060278416287242086,-0.2420207128796083,-0.2420207128796083,-0.22012795683431974,-0.2420207128796083,-0.18560224034951558,-0.18451328378523504,-0.18560224034951558,-0.18698383093609383,-0.1458455949962303,-0.1458455949962303,-0.2288242466803322,-0.12754192170448728,-0.10572582932164847,-0.0902374557463686,-0.11798474609806102,-0.12005605267228346,-0.23555609215302792,-0.23555609215302792,-0.17520135811373336,-0.1679143544368147,-0.1729686781265776,-0.15801938122589,-0.13712505895490001,-0.1306465993665375,-0.11531897436092534,-0.11256410997180843,-0.12926283737222494,-0.12935467215776972,-0.11389389949494413,-0.11389389949494413,-0.10502652359567045,-0.10585043595980331,-0.15476802522960248,-0.15584656304421804,-0.15584656304421804,-0.15584656304421804,-0.15584656304421804,-0.13841177557327025,-0.14363516271854496,-0.1267669704037596,-0.1376001765802184,-0.13086935750923978,-0.12873705279430606,-0.13726469687556506,-0.12398071223620906,-0.12398071223620906,-0.12398071223620906,-0.12821702665352153,-0.1416284036339583,-0.13608692449697635,-0.13135646012847152,-0.14352319185064316,-0.1774258491445874,-0.11975222294301019,-0.11975222294301019,-0.11985508071002028,-0.11975222294301019,-0.09843278801463401,-0.11975222294301019,-0.10761242855995165,-0.07638642721991251,-0.09790749680584421,-0.0882903685393974,-0.09790749680584421,-0.09128398439140784,-0.10468523731572346,-0.09937720908756945,-0.08958182652233083,-0.09090859660474633,-0.08788731957204045,-0.08142756597171844,-0.10753268824751794,-0.09289268560445522,-0.07959107200023403,-0.08194608910340523,-0.0866699265288516,-0.16574548296617625,-0.15607022316014105,-0.15607022316014105,-0.15607022316014105,-0.14453323773373705,-0.15922322492552793,-0.15607022316014105,-0.16997185578774662,-0.15607022316014105,-0.1230227398458969,-0.13398880020441653,-0.13398880020441653,-0.13398880020441653,-0.13398880020441653
obs_MPI6,0.07202590778402529,-0.0376566559756082,-0.3477163384200944,-0.25908928069037473,-0.28771383566052744,-0.3396038200348384,-0.32605644094977226,-0.3396038200348384,-0.204800995902256,-0.204800995902256,-0.204800995902256,-0.19638485766999092,-0.19638485766999092,-0.17624883531571617,-0.19638485766999092,-0.14476833792250254,-0.14547435214932858,-0.14476833792250254,-0.14484077016556574,-0.11079089336829961,-0.11079089336829961,-0.21328679280586832,-0.09987714510883985,-0.06770594671767916,-0.05394350259076514,-0.07963057288675132,-0.08049585074142607,-0.29736528461625167,-0.29736528461625167,-0.23432643738125364,-0.23060568494465575,-0.214346455186599,-0.21222988263922768,-0.1888433478840666,-0.16860854089704524,-0.15654796198539184,-0.16297027905596945,-0.17634557041843338,-0.19089329799854446,-0.1576932832038989,-0.1576932832038989,-0.14741005748645508,-0.15177541686660112,-0.18564018548451827,-0.18406274424791355,-0.18406274424791355,-0.18406274424791355,-0.18406274424791355,-0.18259154768785404,-0.17091981896842667,-0.15716932316159052,-0.17578782717406277,-0.16392494451995862,-0.1548121742835876,-0.17850413813311342,-0.16268155113649924,-0.16268155113649924,-0.16268155113649924,-0.1682528324526537,-0.1633786693181374,-0.1749329741820321,-0.15006310077172585,-0.16581873063095226,-0.199481844762449,-0.14112688668067933,-0.14112688668067933,-0.14216718604579343,-0.14112688668067933,-0.11778270002226436,-0.14112688668067933,-0.1382586724767838,-0.10854889216224575,-0.12886267058041864,-0.1194877272676309,-0.12886267058041864,-0.12431794036805903,-0.14317541214831592,-0.13085840439443902,-0.11562763918852262,-0.11570793853712667,-0.11468096849251841,-0.10650766415802834,-0.12936369448930546,-0.11891858474958847,-0.10616188712627433,-0.10661617079534122,-0.1140411298753923,-0.12630059558656764,-0.1175761629378883,-0.1175761629378883,-0.1175761629378883,-0.10569753486271648,-0.12032295069804116,-0.1175761629378883,-0.1333141993951301,-0.1175761629378883,-0.08310947358767029,-0.09437926439591147,-0.09437926439591147,-0.09437926439591147,-0.09437926439591147
