,t: 0,t: 1,t: 2,t: 3,t: 4,t: 5,t: 6,t: 7,t: 8,t: 9,t: 10,t: 11,t: 12,t: 13,t: 14,t: 15,t: 16,t: 17,t: 18,t: 19,t: 20,t: 21,t: 22,t: 23,t: 24,t: 25,t: 26,t: 27,t: 28,t: 29,t: 30,t: 31,t: 32,t: 33,t: 34,t: 35,t: 36,t: 37,t: 38,t: 39,t: 40,t: 41,t: 42,t: 43,t: 44,t: 45,t: 46,t: 47,t: 48,t: 49,t: 50,t: 51,t: 52,t: 53,t: 54,t: 55,t: 56,t: 57,t: 58,t: 59,t: 60,t: 61,t: 62,t: 63,t: 64,t: 65,t: 66,t: 67,t: 68,t: 69,t: 70,t: 71,t: 72,t: 73,t: 74,t: 75,t: 76,t: 77,t: 78,t: 79,t: 80,t: 81,t: 82,t: 83,t: 84,t: 85,t: 86,t: 87,t: 88,t: 89,t: 90,t: 91,t: 92,t: 93,t: 94,t: 95,t: 96,t: 97,t: 98,t: 99,t: 100
obs_MPI1,-0.019061029336414778,-0.05559388120934541,0.05481514299911107,0.03780631149136763,0.029905538485008334,0.029905538485008334,-0.07269534221517239,-0.09181222720562607,-0.08144055757355396,-0.09181222720562607,-0.08921845703906871,-0.09181222720562607,-0.06747848220740789,-0.08235652958890749,-0.09181222720562607,-0.07352945653293672,-0.3214788651514917,-0.29065175019303086,-0.3220927616241819,-0.290939842854625,-0.3220927616241819,-0.2791709293097544,-0.2910426288767561,-0.3220927616241819,-0.2906706619805932,-0.28854908902061466,-0.2577293835907148,-0.2448470246578519,-0.23110979519411778,-0.2183449330720476,-0.22016148541694353,-0.23737009879648585,-0.2135297476699627,-0.2367619293615459,-0.20285401647951706,-0.20285401647951706,-0.18403814494174542,-0.19836607331224426,-0.2492908179239248,-0.19347821401718207,-0.20055854210266885,-0.19498790191876036,-0.1835189565799767,-0.1900034514373895,-0.18475107051432657,-0.1738765159719397,-0.1738765159719397,-0.15033796107442632,-0.16091527114241835,-0.16091527114241835,-0.16091527114241835,-0.14875806635313457,-0.14591946478334658,-0.14875806635313457,-0.12474003464725592,-0.1266425453187799,-0.12270703852909201,-0.11335265207519345,-0.1266425453187799,-0.12260047324700209,-0.1266425453187799,-0.10807605648306598,-0.11318300219479295,-0.11073039780723712,-0.10306409089731383,-0.11512604892288915,-0.1037065650762857,-0.09059759080574867,-0.10961095237847238,-0.09908532708169537,-0.09224274028919952,-0.09910559642789406,-0.09328754405539766,-0.09328754405539766,-0.09104962452939427,-0.08531980182701082,-0.09322235643860732,-0.08859491947217979,-0.0902838377023153,-0.08231923776750519,-0.08325797219224569,-0.07886963095990646,-0.08231923776750519,-0.074575616984772,-0.06706414250184775,-0.06706414250184775,-0.06706414250184775,-0.06706414250184775,-0.06706414250184775,-0.059842782797459894,-0.060957907614743706,-0.05900054838191994,-0.060040389539924036,-0.056992544529782536,-0.056992544529782536,-0.05900143624631978,-0.050861949393777486,-0.04407733531875546,-0.04728534088285831,-0.06998871985770305,-0.06856084812765972
obs_MPI3,-0.019265922264836133,0.07220875042743317,0.04389039663785253,0.04511755767709106,0.04874078405939871,0.04874078405939871,-0.04638951435109361,-0.07108538089497717,-0.05686373683295291,-0.07108538089497717,-0.0680681342543515,-0.07108538089497717,-0.041008276413503984,-0.06592148858235448,-0.07108538089497717,-0.037271316349358985,-0.01875147029838183,-0.0033323493586921403,-0.023041169092939094,-0.0049025194939829615,-0.023041169092939094,-0.007661882515449667,-0.003999467076186253,-0.023041169092939094,-0.0038475895131966052,-0.01686545753887491,0.02307676620229695,0.024462225727866202,0.011029114542894578,0.01639469861333997,0.010336325836077916,0.009016302433079,0.03024189399794094,0.041662451537621124,0.03664254710826924,0.03664254710826924,-0.052663999518996946,-0.14142267290453842,-0.06555507691285946,-0.04852137048619495,-0.056490617908653,-0.04913973085659061,-0.05972461739842344,-0.0440478332639778,-0.039925603599436026,-0.05166207727770816,-0.05166207727770816,-0.035420401598008994,-0.04230733876119779,-0.04230733876119779,-0.04230733876119779,-0.029588163194438813,-0.0253408156280057,-0.029588163194438813,-0.0012515306556069167,-0.004153570334531315,-0.0011313383056050855,0.004274602336471818,-0.004153570334531315,0.001669544590950256,-0.004153570334531315,0.023860153009835197,0.0019005064813949896,0.005570950248211415,-0.0011128343573031177,-0.0014371252136630777,-0.004013693398898295,0.014678814132597133,-0.008699360641672621,-0.04757335983350532,-0.03553512257243908,-0.04310376865906821,-0.031181823730236116,-0.031181823730236116,-0.027798340944536763,-0.02013544101113595,-0.03215538899997333,-0.024123307216511007,-0.02649065024197697,-0.020826536258847048,-0.020514513402736564,-0.01687262789606754,-0.020826536258847048,-0.010153163932227656,0.00021302458481684688,0.00021302458481684688,0.00021302458481684688,0.00021302458481684688,0.00021302458481684688,0.010460917315893818,0.00679739149648112,0.019354321295762048,0.015143403353916576,0.018067114190867817,0.018067114190867817,0.014708301425345141,0.028859748992914297,0.03777458934302946,0.03306061751265918,-0.06358549133489165,-0.04774449471224697
obs_MPI6,0.07202590778402529,0.19073298881664721,0.03829579932858979,0.004771559062874589,0.0525229959928659,0.0525229959928659,-0.10897559644514741,-0.1477865984787132,-0.1307027918191041,-0.1477865984787132,-0.14922501928182572,-0.1477865984787132,-0.10845438428094326,-0.13723200803878688,-0.1477865984787132,-0.10889291469604213,-0.060404209544468415,-0.04130692186913461,-0.0640734180090876,-0.043523245969188835,-0.0640734180090876,-0.04680394197801514,-0.04080967148651948,-0.0640734180090876,-0.04104941918858181,-0.04453329787218673,-0.01544250468430685,-0.009165344932553304,-0.03923420960977615,-0.026183134831180732,-0.04497238154592765,-0.043778799053010006,-0.029664526895869237,-0.022591093336230342,-0.016634974252621948,-0.016634974252621948,-0.17809271733321552,-0.1802883278616692,-0.17895979349027136,-0.1765358224165968,-0.17933646371323683,-0.17088238154414823,-0.1773857238366312,-0.16470266940740902,-0.16114285630218483,-0.16631167497977403,-0.16631167497977403,-0.13735700831692838,-0.15122821642131296,-0.15122821642131296,-0.15122821642131296,-0.13402544270530609,-0.12962944253461015,-0.13402544270530609,-0.10279585464493045,-0.10542885840883516,-0.1061526481614598,-0.09723521042183161,-0.10542885840883516,-0.10025620716090139,-0.10542885840883516,-0.06558774803101727,-0.08204310260157392,-0.078668866454573,-0.09969095782230925,-0.08928635948609391,-0.09248493617762592,-0.07081542926801394,-0.10003728532026708,-0.11942784070313535,-0.11504563893897451,-0.12967449914236856,-0.11121725563905263,-0.11121725563905263,-0.10815894195663006,-0.09851322105455408,-0.11755966051478274,-0.10485118039966974,-0.1036705716538599,-0.0914376331432056,-0.09049506536797197,-0.09028589141925107,-0.0914376331432056,-0.0794490186570785,-0.06800880235302534,-0.06800880235302534,-0.06800880235302534,-0.06800880235302534,-0.06800880235302534,-0.05643529913945559,-0.05777004835864425,-0.05101555391741096,-0.06442219194214718,-0.06487893179234876,-0.06487893179234876,-0.06591598715931607,-0.05703691781111858,-0.04821328472161747,-0.05276470726458701,-0.09098124000998778,-0.0721499913642156
